Case ID,Activity,Timestamp,Person,Product,Customer,Location
1,Unknown Task,2024-01-22 21:06:07,Sophia Bauer,Product C,Firma 5,Standort A
1,Ware bestellen,2024-01-22 21:36:07,Anna Schmidt,Product D,Firma 4,Standort E
1,Information an Kunde verschicken,2024-01-22 22:01:07,Leon Zimmermann,Product B,Firma 5,Standort E
1,Unknown Task,2024-01-22 22:05:07,Niklas Weber,Product A,Firma 4,Standort D
1,Unknown Task,2024-01-22 22:20:07,Emma Hoffmann,Product D,Firma 5,Standort B
1,Auftragsabwicklung im System starten,2024-01-22 22:24:07,Leon Zimmermann,Product E,Firma 4,Standort C
1,Unknown Task,2024-01-22 22:43:07,Felix Schroeder,Product A,Firma 3,Standort B
1,Ware zusammenstellen,2024-01-22 23:02:07,Emma Hoffmann,Product B,Firma 3,Standort E
1,Unknown Task,2024-01-22 23:05:07,Leon Zimmermann,Product D,Firma 2,Standort B
1,Bescheinigung dazulegen,2024-01-22 23:19:07,Julia Schneider,Product E,Firma 5,Standort B
1,Unknown Task,2024-01-22 23:35:07,Julia Schneider,Product A,Firma 4,Standort C
1,Ware verpacken,2024-01-22 23:46:07,Felix Schroeder,Product A,Firma 2,Standort A
1,Unknown Task,2024-01-23 00:12:07,Felix Schroeder,Product C,Firma 5,Standort B
1,Gewicht ptüfen,2024-01-23 00:26:07,Anna Schmidt,Product A,Firma 1,Standort B
1,Unknown Task,2024-01-23 00:30:07,Leon Zimmermann,Product A,Firma 5,Standort A
1,Unknown Task,2024-01-23 00:47:07,Sophia Bauer,Product C,Firma 1,Standort B
1,Fehler im System eintragen,2024-01-23 01:11:07,Sophia Bauer,Product E,Firma 5,Standort C
1,Lager informieren,2024-01-23 01:28:07,Leon Zimmermann,Product A,Firma 5,Standort A
1,Unknown Task,2024-01-23 01:58:07,Emma Hoffmann,Product C,Firma 2,Standort B
1,Ware zusammenstellen,2024-01-23 02:04:07,Leon Zimmermann,Product C,Firma 4,Standort B
1,Unknown Task,2024-01-23 02:29:07,Lukas Wagner,Product B,Firma 3,Standort A
1,Unknown Task,2024-01-23 02:50:07,Anna Schmidt,Product D,Firma 2,Standort A
1,Ware verpacken,2024-01-23 03:03:07,Emma Hoffmann,Product D,Firma 4,Standort D
1,Unknown Task,2024-01-23 03:08:07,Mia Fischer,Product C,Firma 2,Standort B
1,Verpackung prüfen,2024-01-23 03:09:07,Sophia Bauer,Product E,Firma 2,Standort B
1,Unknown Task,2024-01-23 03:30:07,Mia Fischer,Product C,Firma 1,Standort B
1,Unknown Task,2024-01-23 03:36:07,Emma Hoffmann,Product D,Firma 5,Standort D
1,Fehler im System eintragen,2024-01-23 03:48:07,Niklas Weber,Product B,Firma 4,Standort A
1,Lager informieren,2024-01-23 04:11:07,Emma Hoffmann,Product B,Firma 1,Standort A
1,Unknown Task,2024-01-23 04:37:07,Leon Zimmermann,Product C,Firma 2,Standort A
1,Ware zusammenstellen,2024-01-23 04:46:07,Lukas Wagner,Product B,Firma 5,Standort B
1,Unknown Task,2024-01-23 05:07:07,Leon Zimmermann,Product B,Firma 4,Standort A
1,Unknown Task,2024-01-23 05:31:07,Emma Hoffmann,Product D,Firma 4,Standort E
1,Ware verpacken,2024-01-23 05:47:07,Felix Schroeder,Product C,Firma 4,Standort B
1,Unknown Task,2024-01-23 06:05:07,Sophia Bauer,Product B,Firma 5,Standort E
1,Verpackung prüfen,2024-01-23 06:20:07,Niklas Weber,Product C,Firma 5,Standort A
1,Unknown Task,2024-01-23 06:50:07,Leon Zimmermann,Product C,Firma 1,Standort E
1,Unknown Task,2024-01-23 07:11:07,Mia Fischer,Product B,Firma 5,Standort B
1,Unknown Task,2024-01-23 07:26:07,Mia Fischer,Product C,Firma 3,Standort E
1,"Informationen an 
Transporteur übermitteln",2024-01-23 07:29:07,Max Mueller,Product C,Firma 2,Standort E
1,Paket an Transporteur übergeben,2024-01-23 07:36:07,Mia Fischer,Product B,Firma 2,Standort D
1,Bestellstatus im System ändern,2024-01-23 07:45:07,Julia Schneider,Product B,Firma 5,Standort D
1,Unknown Task,2024-01-23 08:14:07,Lukas Wagner,Product B,Firma 2,Standort A
2,Unknown Task,2024-01-22 14:45:07,Max Mueller,Product C,Firma 5,Standort E
2,Unknown Task,2024-01-22 15:03:07,Julia Schneider,Product B,Firma 5,Standort A
2,Ware verpacken,2024-01-22 15:20:07,Lukas Wagner,Product B,Firma 2,Standort C
2,Unknown Task,2024-01-22 15:30:07,Felix Schroeder,Product B,Firma 1,Standort E
2,Gewicht ptüfen,2024-01-22 16:00:07,Lukas Wagner,Product B,Firma 3,Standort D
2,Unknown Task,2024-01-22 16:12:07,Max Mueller,Product A,Firma 3,Standort D
2,Unknown Task,2024-01-22 16:19:07,Emma Hoffmann,Product D,Firma 4,Standort C
2,Fehler im System eintragen,2024-01-22 16:42:07,Julia Schneider,Product B,Firma 2,Standort C
2,Lager informieren,2024-01-22 17:11:07,Emma Hoffmann,Product C,Firma 5,Standort B
2,Unknown Task,2024-01-22 17:32:07,Sophia Bauer,Product D,Firma 3,Standort A
2,Ware zusammenstellen,2024-01-22 17:49:07,Sophia Bauer,Product B,Firma 2,Standort C
2,Unknown Task,2024-01-22 18:15:07,Anna Schmidt,Product B,Firma 1,Standort E
2,Bescheinigung dazulegen,2024-01-22 18:38:07,Niklas Weber,Product B,Firma 1,Standort B
2,Unknown Task,2024-01-22 19:01:07,Anna Schmidt,Product C,Firma 4,Standort B
2,Ware verpacken,2024-01-22 19:09:07,Niklas Weber,Product A,Firma 4,Standort E
2,Unknown Task,2024-01-22 19:16:07,Sophia Bauer,Product E,Firma 4,Standort C
2,Verpackung prüfen,2024-01-22 19:31:07,Niklas Weber,Product B,Firma 3,Standort B
2,Unknown Task,2024-01-22 19:48:07,Emma Hoffmann,Product C,Firma 5,Standort E
2,Unknown Task,2024-01-22 20:07:07,Emma Hoffmann,Product E,Firma 2,Standort E
2,Unknown Task,2024-01-22 20:35:07,Felix Schroeder,Product B,Firma 1,Standort E
2,Paket zur Warenausgabe bringen,2024-01-22 21:04:07,Leon Zimmermann,Product E,Firma 1,Standort C
2,Paket an Kunde übergeben,2024-01-22 21:19:07,Felix Schroeder,Product C,Firma 3,Standort D
2,Bestellstatus im System ändern,2024-01-22 21:32:07,Leon Zimmermann,Product A,Firma 1,Standort A
2,Unknown Task,2024-01-22 21:40:07,Mia Fischer,Product D,Firma 3,Standort A
3,Unknown Task,2024-01-22 14:45:07,Mia Fischer,Product C,Firma 5,Standort A
4,Unknown Task,2024-01-22 14:45:07,Leon Zimmermann,Product B,Firma 2,Standort E
4,Unknown Task,2024-01-22 14:50:07,Mia Fischer,Product D,Firma 2,Standort C
4,Bestellung in System eintragen,2024-01-22 15:01:07,Felix Schroeder,Product C,Firma 2,Standort D
4,Lagerbestand überprüfen,2024-01-22 15:17:07,Anna Schmidt,Product B,Firma 4,Standort A
4,Unknown Task,2024-01-22 15:45:07,Sophia Bauer,Product A,Firma 3,Standort D
4,Auftragsabwicklung im System starten,2024-01-22 16:04:07,Sophia Bauer,Product E,Firma 4,Standort A
4,Unknown Task,2024-01-22 16:32:07,Julia Schneider,Product D,Firma 5,Standort C
4,Ware zusammenstellen,2024-01-22 16:46:07,Mia Fischer,Product D,Firma 4,Standort A
4,Unknown Task,2024-01-22 16:58:07,Sophia Bauer,Product A,Firma 1,Standort C
4,Unknown Task,2024-01-22 17:23:07,Mia Fischer,Product D,Firma 3,Standort A
4,Ware verpacken,2024-01-22 17:31:07,Sophia Bauer,Product B,Firma 1,Standort B
4,Unknown Task,2024-01-22 17:43:07,Felix Schroeder,Product B,Firma 5,Standort D
4,Anzahl der Ware prüfen,2024-01-22 17:56:07,Sophia Bauer,Product C,Firma 2,Standort C
4,Unknown Task,2024-01-22 18:24:07,Sophia Bauer,Product D,Firma 2,Standort A
4,Unknown Task,2024-01-22 18:52:07,Leon Zimmermann,Product E,Firma 4,Standort C
4,Unknown Task,2024-01-22 18:55:07,Niklas Weber,Product D,Firma 1,Standort A
4,"Informationen an 
Transporteur übermitteln",2024-01-22 19:25:07,Niklas Weber,Product A,Firma 3,Standort D
4,Paket an Transporteur übergeben,2024-01-22 19:30:07,Niklas Weber,Product E,Firma 5,Standort B
4,Bestellstatus im System ändern,2024-01-22 19:37:07,Lukas Wagner,Product D,Firma 1,Standort C
4,Unknown Task,2024-01-22 20:05:07,Niklas Weber,Product B,Firma 3,Standort C
5,Bestellstatus im System ändern,2024-01-22 14:45:07,Max Mueller,Product D,Firma 3,Standort A
5,Unknown Task,2024-01-22 14:50:07,Lukas Wagner,Product C,Firma 5,Standort D
6,Bestellstatus im System ändern,2024-01-22 14:45:07,Niklas Weber,Product D,Firma 3,Standort D
6,Unknown Task,2024-01-22 15:02:07,Max Mueller,Product C,Firma 2,Standort B
7,Unknown Task,2024-01-22 14:45:07,Felix Schroeder,Product B,Firma 5,Standort B
7,Unknown Task,2024-01-22 14:46:07,Lukas Wagner,Product D,Firma 1,Standort A
7,Unknown Task,2024-01-22 15:10:07,Anna Schmidt,Product D,Firma 1,Standort E
7,"Informationen an 
Transporteur übermitteln",2024-01-22 15:40:07,Niklas Weber,Product D,Firma 4,Standort C
7,Paket an Transporteur übergeben,2024-01-22 15:46:07,Julia Schneider,Product A,Firma 1,Standort C
7,Bestellstatus im System ändern,2024-01-22 16:12:07,Leon Zimmermann,Product C,Firma 2,Standort A
7,Unknown Task,2024-01-22 16:35:07,Lukas Wagner,Product C,Firma 1,Standort C
8,Lager informieren,2024-01-22 14:45:07,Anna Schmidt,Product A,Firma 3,Standort B
8,Unknown Task,2024-01-22 15:08:07,Anna Schmidt,Product C,Firma 3,Standort A
8,Ware zusammenstellen,2024-01-22 15:27:07,Julia Schneider,Product C,Firma 4,Standort E
8,Unknown Task,2024-01-22 15:29:07,Mia Fischer,Product E,Firma 3,Standort A
8,Bescheinigung dazulegen,2024-01-22 15:34:07,Emma Hoffmann,Product B,Firma 4,Standort A
8,Unknown Task,2024-01-22 15:59:07,Max Mueller,Product B,Firma 5,Standort A
8,Ware verpacken,2024-01-22 16:21:07,Julia Schneider,Product B,Firma 5,Standort A
8,Unknown Task,2024-01-22 16:45:07,Niklas Weber,Product D,Firma 2,Standort A
8,Anzahl der Ware prüfen,2024-01-22 17:03:07,Sophia Bauer,Product C,Firma 1,Standort A
8,Unknown Task,2024-01-22 17:09:07,Niklas Weber,Product A,Firma 1,Standort E
8,Unknown Task,2024-01-22 17:19:07,Niklas Weber,Product A,Firma 2,Standort C
8,Fehler im System eintragen,2024-01-22 17:49:07,Emma Hoffmann,Product D,Firma 1,Standort D
8,Lager informieren,2024-01-22 18:12:07,Lukas Wagner,Product C,Firma 4,Standort C
8,Unknown Task,2024-01-22 18:14:07,Max Mueller,Product E,Firma 5,Standort C
8,Ware zusammenstellen,2024-01-22 18:44:07,Anna Schmidt,Product C,Firma 3,Standort A
8,Unknown Task,2024-01-22 19:11:07,Julia Schneider,Product D,Firma 4,Standort A
8,Bescheinigung dazulegen,2024-01-22 19:40:07,Emma Hoffmann,Product B,Firma 1,Standort B
8,Unknown Task,2024-01-22 19:49:07,Mia Fischer,Product B,Firma 2,Standort B
8,Ware verpacken,2024-01-22 19:57:07,Lukas Wagner,Product A,Firma 3,Standort D
8,Unknown Task,2024-01-22 20:05:07,Max Mueller,Product D,Firma 5,Standort B
8,Anzahl der Ware prüfen,2024-01-22 20:23:07,Mia Fischer,Product D,Firma 3,Standort C
8,Unknown Task,2024-01-22 20:28:07,Mia Fischer,Product A,Firma 1,Standort C
8,Unknown Task,2024-01-22 20:37:07,Julia Schneider,Product D,Firma 4,Standort A
8,Fehler im System eintragen,2024-01-22 20:57:07,Mia Fischer,Product D,Firma 4,Standort D
8,Lager informieren,2024-01-22 21:12:07,Emma Hoffmann,Product D,Firma 2,Standort A
8,Unknown Task,2024-01-22 21:28:07,Julia Schneider,Product C,Firma 5,Standort D
8,Ware zusammenstellen,2024-01-22 21:43:07,Felix Schroeder,Product C,Firma 5,Standort B
8,Unknown Task,2024-01-22 22:03:07,Anna Schmidt,Product E,Firma 3,Standort A
8,Unknown Task,2024-01-22 22:16:07,Sophia Bauer,Product A,Firma 1,Standort E
8,Ware verpacken,2024-01-22 22:30:07,Lukas Wagner,Product E,Firma 4,Standort A
8,Unknown Task,2024-01-22 22:54:07,Sophia Bauer,Product C,Firma 1,Standort D
8,Anzahl der Ware prüfen,2024-01-22 23:23:07,Julia Schneider,Product C,Firma 2,Standort B
8,Unknown Task,2024-01-22 23:52:07,Sophia Bauer,Product C,Firma 3,Standort D
8,Unknown Task,2024-01-23 00:06:07,Max Mueller,Product E,Firma 2,Standort C
8,Unknown Task,2024-01-23 00:29:07,Niklas Weber,Product A,Firma 4,Standort C
8,"Informationen an 
Transporteur übermitteln",2024-01-23 00:45:07,Felix Schroeder,Product C,Firma 1,Standort E
8,Paket an Transporteur übergeben,2024-01-23 01:07:07,Emma Hoffmann,Product B,Firma 4,Standort E
8,Bestellstatus im System ändern,2024-01-23 01:37:07,Felix Schroeder,Product E,Firma 5,Standort A
8,Unknown Task,2024-01-23 01:42:07,Emma Hoffmann,Product B,Firma 5,Standort E
9,Kunden anschreiben,2024-01-22 14:45:07,Leon Zimmermann,Product D,Firma 1,Standort A
9,Unknown Task,2024-01-22 15:07:07,Niklas Weber,Product C,Firma 1,Standort E
9,Unknown Task,2024-01-22 15:08:07,Julia Schneider,Product D,Firma 5,Standort D
9,Unknown Task,2024-01-22 15:09:07,Mia Fischer,Product B,Firma 3,Standort A
9,Bestellung in System eintragen,2024-01-22 15:34:07,Mia Fischer,Product C,Firma 1,Standort A
9,Lagerbestand überprüfen,2024-01-22 15:45:07,Lukas Wagner,Product A,Firma 5,Standort A
9,Unknown Task,2024-01-22 16:00:07,Leon Zimmermann,Product C,Firma 5,Standort A
9,Ware bestellen,2024-01-22 16:03:07,Sophia Bauer,Product B,Firma 3,Standort B
9,Information an Kunde verschicken,2024-01-22 16:24:07,Julia Schneider,Product C,Firma 1,Standort A
9,Unknown Task,2024-01-22 16:27:07,Max Mueller,Product C,Firma 1,Standort A
9,Unknown Task,2024-01-22 16:50:07,Sophia Bauer,Product B,Firma 1,Standort C
9,Auftragsabwicklung im System starten,2024-01-22 16:52:07,Sophia Bauer,Product A,Firma 2,Standort D
9,Unknown Task,2024-01-22 17:05:07,Mia Fischer,Product D,Firma 2,Standort E
9,Ware zusammenstellen,2024-01-22 17:20:07,Niklas Weber,Product B,Firma 1,Standort E
9,Unknown Task,2024-01-22 17:49:07,Sophia Bauer,Product B,Firma 5,Standort C
9,Unknown Task,2024-01-22 18:04:07,Niklas Weber,Product D,Firma 4,Standort B
9,Ware verpacken,2024-01-22 18:22:07,Leon Zimmermann,Product E,Firma 3,Standort E
9,Unknown Task,2024-01-22 18:35:07,Lukas Wagner,Product A,Firma 3,Standort A
9,Verpackung prüfen,2024-01-22 18:54:07,Max Mueller,Product C,Firma 2,Standort B
9,Unknown Task,2024-01-22 19:06:07,Emma Hoffmann,Product D,Firma 2,Standort D
9,Unknown Task,2024-01-22 19:36:07,Niklas Weber,Product B,Firma 5,Standort C
9,Fehler im System eintragen,2024-01-22 19:44:07,Felix Schroeder,Product E,Firma 4,Standort D
9,Lager informieren,2024-01-22 20:04:07,Felix Schroeder,Product A,Firma 3,Standort D
9,Unknown Task,2024-01-22 20:06:07,Niklas Weber,Product D,Firma 2,Standort E
9,Ware zusammenstellen,2024-01-22 20:20:07,Max Mueller,Product A,Firma 4,Standort D
9,Unknown Task,2024-01-22 20:44:07,Emma Hoffmann,Product E,Firma 2,Standort B
9,Unknown Task,2024-01-22 20:46:07,Niklas Weber,Product E,Firma 5,Standort D
9,Ware verpacken,2024-01-22 21:16:07,Max Mueller,Product D,Firma 2,Standort A
9,Unknown Task,2024-01-22 21:19:07,Emma Hoffmann,Product D,Firma 5,Standort E
9,Anzahl der Ware prüfen,2024-01-22 21:48:07,Leon Zimmermann,Product B,Firma 4,Standort B
9,Unknown Task,2024-01-22 22:04:07,Mia Fischer,Product D,Firma 5,Standort B
9,Unknown Task,2024-01-22 22:29:07,Julia Schneider,Product C,Firma 2,Standort C
9,Fehler im System eintragen,2024-01-22 22:33:07,Felix Schroeder,Product A,Firma 2,Standort B
9,Lager informieren,2024-01-22 22:51:07,Niklas Weber,Product E,Firma 4,Standort B
9,Unknown Task,2024-01-22 23:13:07,Anna Schmidt,Product B,Firma 4,Standort B
9,Ware zusammenstellen,2024-01-22 23:20:07,Mia Fischer,Product E,Firma 4,Standort B
9,Unknown Task,2024-01-22 23:40:07,Emma Hoffmann,Product A,Firma 4,Standort B
9,Bescheinigung dazulegen,2024-01-22 23:44:07,Niklas Weber,Product B,Firma 3,Standort B
9,Unknown Task,2024-01-23 00:11:07,Leon Zimmermann,Product B,Firma 2,Standort A
9,Ware verpacken,2024-01-23 00:27:07,Emma Hoffmann,Product C,Firma 4,Standort A
9,Unknown Task,2024-01-23 00:30:07,Niklas Weber,Product C,Firma 1,Standort B
9,Anzahl der Ware prüfen,2024-01-23 00:53:07,Sophia Bauer,Product C,Firma 3,Standort A
9,Unknown Task,2024-01-23 01:20:07,Niklas Weber,Product D,Firma 5,Standort D
9,Unknown Task,2024-01-23 01:31:07,Max Mueller,Product E,Firma 1,Standort C
9,Unknown Task,2024-01-23 01:56:07,Sophia Bauer,Product D,Firma 3,Standort A
9,"Informationen an 
Transporteur übermitteln",2024-01-23 02:13:07,Julia Schneider,Product B,Firma 1,Standort B
9,Paket an Transporteur übergeben,2024-01-23 02:23:07,Max Mueller,Product C,Firma 3,Standort C
9,Bestellstatus im System ändern,2024-01-23 02:26:07,Julia Schneider,Product C,Firma 4,Standort E
9,Unknown Task,2024-01-23 02:52:07,Lukas Wagner,Product E,Firma 2,Standort E
10,Bestellstatus im System ändern,2024-01-22 14:45:07,Anna Schmidt,Product A,Firma 3,Standort C
10,Unknown Task,2024-01-22 14:56:07,Julia Schneider,Product A,Firma 5,Standort B
11,Unknown Task,2024-01-22 14:45:07,Niklas Weber,Product C,Firma 1,Standort C
11,Gewicht ptüfen,2024-01-22 15:14:07,Max Mueller,Product B,Firma 3,Standort C
11,Unknown Task,2024-01-22 15:21:07,Lukas Wagner,Product B,Firma 2,Standort C
11,Unknown Task,2024-01-22 15:36:07,Sophia Bauer,Product A,Firma 5,Standort E
11,Unknown Task,2024-01-22 16:02:07,Emma Hoffmann,Product D,Firma 4,Standort A
11,Paket zur Warenausgabe bringen,2024-01-22 16:11:07,Felix Schroeder,Product A,Firma 3,Standort D
11,Paket an Kunde übergeben,2024-01-22 16:24:07,Julia Schneider,Product E,Firma 5,Standort B
11,Bestellstatus im System ändern,2024-01-22 16:47:07,Anna Schmidt,Product C,Firma 4,Standort A
11,Unknown Task,2024-01-22 16:56:07,Niklas Weber,Product A,Firma 1,Standort C
12,Bestellstatus im System ändern,2024-01-22 14:45:07,Lukas Wagner,Product B,Firma 1,Standort A
12,Unknown Task,2024-01-22 14:50:07,Max Mueller,Product A,Firma 5,Standort D
13,Unknown Task,2024-01-22 14:45:07,Julia Schneider,Product C,Firma 1,Standort C
13,Unknown Task,2024-01-22 14:51:07,Niklas Weber,Product C,Firma 1,Standort A
13,Unknown Task,2024-01-22 15:01:07,Niklas Weber,Product C,Firma 3,Standort A
13,Bestellung in System eintragen,2024-01-22 15:04:07,Leon Zimmermann,Product E,Firma 1,Standort E
13,Lagerbestand überprüfen,2024-01-22 15:09:07,Leon Zimmermann,Product E,Firma 5,Standort E
13,Unknown Task,2024-01-22 15:16:07,Leon Zimmermann,Product A,Firma 5,Standort C
13,Auftragsabwicklung im System starten,2024-01-22 15:34:07,Lukas Wagner,Product D,Firma 5,Standort E
13,Unknown Task,2024-01-22 15:56:07,Leon Zimmermann,Product A,Firma 5,Standort C
13,Ware zusammenstellen,2024-01-22 16:18:07,Emma Hoffmann,Product B,Firma 3,Standort D
13,Unknown Task,2024-01-22 16:30:07,Mia Fischer,Product B,Firma 1,Standort A
13,Unknown Task,2024-01-22 16:43:07,Mia Fischer,Product A,Firma 1,Standort C
13,Ware verpacken,2024-01-22 17:08:07,Sophia Bauer,Product E,Firma 4,Standort A
13,Unknown Task,2024-01-22 17:35:07,Anna Schmidt,Product A,Firma 2,Standort E
13,Gewicht ptüfen,2024-01-22 17:46:07,Felix Schroeder,Product D,Firma 1,Standort D
13,Unknown Task,2024-01-22 18:14:07,Leon Zimmermann,Product A,Firma 2,Standort B
13,Unknown Task,2024-01-22 18:24:07,Felix Schroeder,Product C,Firma 4,Standort A
13,Fehler im System eintragen,2024-01-22 18:32:07,Felix Schroeder,Product C,Firma 5,Standort D
13,Lager informieren,2024-01-22 18:44:07,Max Mueller,Product C,Firma 1,Standort D
13,Unknown Task,2024-01-22 18:51:07,Niklas Weber,Product B,Firma 3,Standort B
13,Ware zusammenstellen,2024-01-22 19:01:07,Leon Zimmermann,Product D,Firma 1,Standort D
13,Unknown Task,2024-01-22 19:08:07,Leon Zimmermann,Product B,Firma 2,Standort E
13,Unknown Task,2024-01-22 19:35:07,Felix Schroeder,Product D,Firma 1,Standort E
13,Ware verpacken,2024-01-22 19:44:07,Max Mueller,Product C,Firma 4,Standort A
13,Unknown Task,2024-01-22 20:07:07,Julia Schneider,Product B,Firma 1,Standort E
13,Verpackung prüfen,2024-01-22 20:21:07,Emma Hoffmann,Product A,Firma 3,Standort D
13,Unknown Task,2024-01-22 20:30:07,Lukas Wagner,Product C,Firma 1,Standort C
13,Unknown Task,2024-01-22 20:34:07,Emma Hoffmann,Product A,Firma 1,Standort B
13,Fehler im System eintragen,2024-01-22 20:50:07,Max Mueller,Product A,Firma 2,Standort C
13,Lager informieren,2024-01-22 21:20:07,Anna Schmidt,Product B,Firma 1,Standort A
13,Unknown Task,2024-01-22 21:33:07,Leon Zimmermann,Product A,Firma 2,Standort E
13,Ware zusammenstellen,2024-01-22 21:35:07,Anna Schmidt,Product C,Firma 1,Standort D
13,Unknown Task,2024-01-22 22:02:07,Anna Schmidt,Product A,Firma 1,Standort A
13,Bescheinigung dazulegen,2024-01-22 22:14:07,Leon Zimmermann,Product D,Firma 5,Standort A
13,Unknown Task,2024-01-22 22:30:07,Felix Schroeder,Product D,Firma 5,Standort B
13,Ware verpacken,2024-01-22 22:33:07,Max Mueller,Product C,Firma 1,Standort D
13,Unknown Task,2024-01-22 22:47:07,Niklas Weber,Product E,Firma 3,Standort C
13,Verpackung prüfen,2024-01-22 23:14:07,Leon Zimmermann,Product A,Firma 3,Standort D
13,Unknown Task,2024-01-22 23:40:07,Julia Schneider,Product A,Firma 1,Standort A
13,Unknown Task,2024-01-22 23:53:07,Julia Schneider,Product C,Firma 3,Standort D
13,Fehler im System eintragen,2024-01-23 00:08:07,Julia Schneider,Product A,Firma 2,Standort A
13,Lager informieren,2024-01-23 00:30:07,Julia Schneider,Product C,Firma 1,Standort E
13,Unknown Task,2024-01-23 00:59:07,Anna Schmidt,Product A,Firma 5,Standort E
13,Ware zusammenstellen,2024-01-23 01:14:07,Lukas Wagner,Product E,Firma 4,Standort C
13,Unknown Task,2024-01-23 01:27:07,Niklas Weber,Product D,Firma 4,Standort B
13,Unknown Task,2024-01-23 01:53:07,Lukas Wagner,Product A,Firma 2,Standort E
13,Ware verpacken,2024-01-23 02:09:07,Sophia Bauer,Product E,Firma 1,Standort B
13,Unknown Task,2024-01-23 02:13:07,Anna Schmidt,Product D,Firma 2,Standort C
13,Anzahl der Ware prüfen,2024-01-23 02:41:07,Mia Fischer,Product D,Firma 5,Standort D
13,Unknown Task,2024-01-23 03:09:07,Julia Schneider,Product B,Firma 5,Standort B
13,Unknown Task,2024-01-23 03:20:07,Anna Schmidt,Product C,Firma 3,Standort D
13,Unknown Task,2024-01-23 03:39:07,Lukas Wagner,Product E,Firma 5,Standort B
13,"Informationen an 
Transporteur übermitteln",2024-01-23 03:49:07,Anna Schmidt,Product C,Firma 3,Standort C
13,Paket an Transporteur übergeben,2024-01-23 04:17:07,Anna Schmidt,Product B,Firma 1,Standort A
13,Bestellstatus im System ändern,2024-01-23 04:26:07,Mia Fischer,Product A,Firma 2,Standort A
13,Unknown Task,2024-01-23 04:56:07,Max Mueller,Product C,Firma 1,Standort C
14,Unknown Task,2024-01-22 14:45:07,Mia Fischer,Product B,Firma 1,Standort B
15,Kunden anschreiben,2024-01-22 14:45:07,Lukas Wagner,Product C,Firma 2,Standort A
15,Unknown Task,2024-01-22 15:10:07,Niklas Weber,Product A,Firma 5,Standort D
15,Unknown Task,2024-01-22 15:18:07,Julia Schneider,Product C,Firma 4,Standort A
15,Unknown Task,2024-01-22 15:38:07,Niklas Weber,Product A,Firma 1,Standort D
15,Bestellung in System eintragen,2024-01-22 15:39:07,Sophia Bauer,Product C,Firma 3,Standort E
15,Lagerbestand überprüfen,2024-01-22 15:51:07,Sophia Bauer,Product C,Firma 1,Standort B
15,Unknown Task,2024-01-22 16:19:07,Max Mueller,Product D,Firma 3,Standort E
15,Ware bestellen,2024-01-22 16:47:07,Julia Schneider,Product D,Firma 4,Standort E
15,Information an Kunde verschicken,2024-01-22 16:48:07,Felix Schroeder,Product A,Firma 5,Standort C
15,Unknown Task,2024-01-22 17:15:07,Niklas Weber,Product C,Firma 3,Standort A
15,Unknown Task,2024-01-22 17:37:07,Lukas Wagner,Product C,Firma 4,Standort A
15,Auftragsabwicklung im System starten,2024-01-22 17:42:07,Anna Schmidt,Product C,Firma 5,Standort B
